n,time
317,0.000103
318,0.000104
319,0.000107
320,0.000103
321,0.000106
322,0.000106
323,0.000109
324,0.000107
325,0.000108
326,0.000106
327,0.000105
328,0.000107
329,0.00011
330,0.000111
331,0.000111
332,0.000109
333,0.000108
334,0.00011
335,0.000108
336,0.000108
337,0.000118
338,0.000112
339,0.000109
340,0.000114
341,0.000113
342,0.000113
343,0.000114
344,0.000121
345,0.000113
346,0.000116
347,0.000117
348,0.000115
349,0.000119
350,0.000116
351,0.000117
352,0.000114
353,0.000119
354,0.000118
355,0.00013
356,0.000114
357,0.000116
358,0.000117
359,0.000116
360,0.000122
361,0.000122
362,0.000126
363,0.000118
364,0.00012
365,0.000119
366,0.000123
367,0.000119
368,0.000124
369,0.000123
370,0.000123
371,0.000123
372,0.00012
373,0.000126
374,0.000123
375,0.000123
376,0.000122
377,0.000124
378,0.000127
379,0.000128
380,0.000127
381,0.000129
382,0.000129
383,0.000127
384,0.000129
385,0.000125
386,0.000128
387,0.000128
388,0.000126
389,0.000129
390,0.000128
391,0.000128
392,0.00013
393,0.00013
394,0.00013
395,0.000134
396,0.000133
397,0.00013
398,0.000129
399,0.000134
400,0.000132
401,0.000133
402,0.000132
403,0.000132
404,0.000132
405,0.000133
406,0.000137
407,0.000135
408,0.000133
409,0.000135
410,0.000136
411,0.000139
412,0.000137
413,0.000142
414,0.00014
415,0.000135
416,0.000145
417,0.00014
418,0.000139
419,0.000142
420,0.000142
421,0.000141
422,0.000142
423,0.00014
424,0.000141
425,0.000141
426,0.000142
427,0.000142
428,0.000142
429,0.000143
430,0.000147
431,0.000145
432,0.000144
433,0.000143
434,0.000149
435,0.000145
436,0.000144
437,0.000145
438,0.000148
439,0.000146
440,0.000152
441,0.000156
442,0.000148
443,0.000152
444,0.000148
445,0.000148
446,0.000146
447,0.000153
448,0.000149
449,0.000151
450,0.000151
451,0.000151
452,0.000155
453,0.000151
454,0.000149
455,0.000153
456,0.000152
457,0.000157
458,0.000153
459,0.000155
460,0.000161
461,0.000159
462,0.000155
463,0.000155
464,0.000156
465,0.000155
466,0.000158
467,0.000163
468,0.000158
469,0.000167
470,0.000165
471,0.000158
472,0.000159
473,0.000159
474,0.000156
475,0.00016
476,0.000163
477,0.000168
478,0.000159
479,0.000161
480,0.000167
481,0.000158
482,0.000164
483,0.000167
484,0.000164
485,0.000164
486,0.000163
487,0.000164
488,0.000168
489,0.000163
490,0.000167
491,0.000166
492,0.000176
493,0.000168
494,0.000171
495,0.000171
496,0.000168
497,0.00017
498,0.000163
499,0.000168
500,0.000178
501,0.000167
502,0.000173
503,0.000166
504,0.00017
505,0.000166
506,0.00017
507,0.000171
508,0.000176
509,0.000174
510,0.000169
511,0.000174
512,0.000179
513,0.000178
514,0.000171
515,0.000176
516,0.000173
517,0.000178
518,0.000177
519,0.000179
520,0.000177
521,0.000177
522,0.00018
523,0.000176
524,0.000179
525,0.000175
526,0.000176
527,0.000179
528,0.000183
529,0.000179
530,0.000181
531,0.00018
532,0.000181
533,0.000183
534,0.00018
535,0.000189
536,0.000179
537,0.000181
538,0.000185
539,0.000188
540,0.000185
541,0.000186
542,0.000184
543,0.0002
544,0.000185
545,0.000188
546,0.000186
547,0.000186
548,0.000192
549,0.000193
550,0.000187
551,0.000191
552,0.00019
553,0.000196
554,0.000196
555,0.000192
556,0.000189
557,0.00019
558,0.000192
559,0.000192
560,0.00019
561,0.000198
562,0.000197
563,0.000197
564,0.000195
565,0.000194
566,0.000194
567,0.000198
568,0.000203
569,0.000192
570,0.000196
571,0.000197
572,0.000197
573,0.000198
574,0.000199
575,0.0002
576,0.000197
577,0.000199
578,0.000199
579,0.000203
580,0.000203
581,0.000202
582,0.000205
583,0.000204
584,0.000204
585,0.000204
586,0.000207
587,0.000202
588,0.000205
589,0.000205
590,0.000203
591,0.000207
592,0.000212
593,0.000209
594,0.000201
595,0.000208
596,0.000214
597,0.000205
598,0.000207
599,0.000211
600,0.00021
601,0.000208
602,0.000207
603,0.000209
604,0.000208
605,0.000217
606,0.000212
607,0.000211
608,0.000213
609,0.000208
610,0.000218
611,0.00021
612,0.00021
613,0.000209
614,0.000213
615,0.000215
616,0.000224
617,0.000214
618,0.000214
619,0.00027
620,0.000216
621,0.000221
622,0.000216
623,0.000237
624,0.000215
625,0.000219
626,0.000221
627,0.000222
628,0.000217
629,0.000222
630,0.000222
631,0.000224
632,0.000225
633,0.000219
634,0.00022
635,0.000225
636,0.000236
637,0.000221
638,0.000226
639,0.000224
640,0.000232
641,0.000221
642,0.000223
643,0.00023
644,0.000233
645,0.000229
646,0.000228
647,0.000232
648,0.000227
649,0.000228
650,0.000225
651,0.00023
652,0.000229
653,0.000239
654,0.000229
655,0.000231
656,0.000231
657,0.000236
658,0.00023
659,0.000233
660,0.000236
661,0.000232
662,0.000229
663,0.000237
664,0.000234
665,0.000244
666,0.000238
667,0.000234
668,0.000238
669,0.000237
670,0.000238
671,0.000235
672,0.000237
673,0.000245
674,0.000243
675,0.00024
676,0.000239
677,0.000238
678,0.000237
679,0.000237
680,0.000239
681,0.000264
682,0.000243
683,0.000243
684,0.000243
685,0.000245
686,0.00024
687,0.000251
688,0.00024
689,0.000257
690,0.000238
691,0.000252
692,0.000242
693,0.00026
694,0.000249
695,0.000245
696,0.000252
697,0.000255
698,0.000256
699,0.000254
700,0.000257
701,0.000244
702,0.000253
703,0.000251
704,0.000265
705,0.00026
706,0.000257
707,0.000249
708,0.000251
709,0.000251
710,0.00025
711,0.000255
712,0.000259
713,0.000259
714,0.000252
715,0.000261
716,0.000258
717,0.000259
718,0.000249
719,0.000262
720,0.000256
721,0.00026
722,0.000261
723,0.000259
724,0.000261
725,0.000257
726,0.000263
727,0.000272
728,0.000267
729,0.000262
730,0.000264
731,0.000258
732,0.000263
733,0.00026
734,0.000277
735,0.000265
736,0.000264
737,0.000288
738,0.000264
739,0.000261
740,0.000262
741,0.000273
742,0.00026
743,0.000267
744,0.000284
745,0.000264
746,0.000265
747,0.000272
748,0.000284
749,0.000282
750,0.000268
751,0.000278
752,0.000275
753,0.000289
754,0.000272
755,0.000289
756,0.000276
757,0.000273
758,0.000277
759,0.000277
760,0.000271
761,0.000271
762,0.000285
763,0.000279
764,0.00029
765,0.000283
766,0.000274
767,0.000271
768,0.000285
769,0.000286
770,0.000284
771,0.000287
772,0.000289
773,0.00028
774,0.00028
775,0.000282
776,0.000282
777,0.000282
778,0.000276
779,0.000281
780,0.000279
781,0.000285
782,0.000287
783,0.000285
784,0.000283
785,0.000286
786,0.000295
787,0.000281
788,0.000287
789,0.000296
790,0.000287
791,0.000282
792,0.000294
793,0.00029
794,0.000287
795,0.000288
796,0.000286
797,0.000296
798,0.000286
799,0.000308
800,0.00029
801,0.000295
802,0.000303
803,0.000305
804,0.000294
805,0.000293
806,0.000295
807,0.000288
808,0.000288
809,0.000308
810,0.000296
811,0.000294
812,0.000291
813,0.000299
814,0.000294
815,0.000314
816,0.000294
817,0.000299
818,0.000299
819,0.000294
820,0.000294
821,0.000304
822,0.000298
823,0.000296
824,0.000299
825,0.000306
826,0.000298
827,0.000295
828,0.000305
829,0.000298
830,0.000303
831,0.000307
832,0.000303
833,0.000302
834,0.000311
835,0.000306
836,0.0003
837,0.000318
838,0.000304
839,0.000301
840,0.000311
841,0.000301
842,0.000301
843,0.000309
844,0.00031
845,0.000309
846,0.000315
847,0.000307
848,0.000311
849,0.000312
850,0.00032
851,0.000318
852,0.000314
853,0.000312
854,0.000318
855,0.000311
856,0.000316
857,0.000313
858,0.000315
859,0.000311
860,0.000314
861,0.000317
862,0.000324
863,0.000313
864,0.000323
865,0.000328
866,0.000314
867,0.000314
868,0.000318
869,0.000315
870,0.00032
871,0.000316
872,0.000322
873,0.00032
874,0.000328
875,0.000321
876,0.000323
877,0.000334
878,0.000326
879,0.000321
880,0.000331
881,0.000323
882,0.000331
883,0.000339
884,0.000338
885,0.000333
886,0.000329
887,0.000342
888,0.000335
889,0.000331
890,0.000327
891,0.000334
892,0.000325
893,0.000327
894,0.000337
895,0.000321
896,0.000329
897,0.000341
898,0.000331
899,0.000327
900,0.000328
901,0.000329
902,0.000343
903,0.000346
904,0.000336
905,0.000333
906,0.000328
907,0.000335
908,0.000338
909,0.000335
910,0.000327
911,0.000341
912,0.000345
913,0.000341
914,0.000337
915,0.000338
916,0.000347
917,0.000345
918,0.000338
919,0.000338
920,0.00035
921,0.00034
922,0.000339
923,0.000336
924,0.000341
925,0.000363
926,0.00034
927,0.000337
928,0.000352
929,0.000349
930,0.000337
931,0.000354
932,0.000338
933,0.000346
934,0.000348
935,0.000353
936,0.000347
937,0.000341
938,0.000341
939,0.000354
940,0.00036
941,0.000346
942,0.000357
943,0.000347
944,0.000349
945,0.000359
946,0.000349
947,0.000356
948,0.000347
949,0.00035
950,0.000355
951,0.000351
952,0.00035
953,0.000352
954,0.000358
955,0.000351
956,0.000353
957,0.000363
958,0.000359
959,0.000348
960,0.000352
961,0.000355
962,0.000349
963,0.00036
964,0.000361
965,0.000365
966,0.000366
967,0.00035
968,0.000354
969,0.000364
970,0.000354
971,0.000361
972,0.00036
973,0.000364
974,0.000357
975,0.000357
976,0.000355
977,0.000368
978,0.000369
979,0.000366
980,0.000363
981,0.00036
982,0.000367
983,0.000369
984,0.000372
985,0.000372
986,0.000363
987,0.000375
988,0.00037
989,0.000372
990,0.000376
991,0.000371
992,0.000366
993,0.000366
994,0.000371
995,0.000381
996,0.00037
997,0.000364
998,0.00038
999,0.000372
1000,0.000384
