n,time
331,0.000112
332,0.00011
333,0.000113
334,0.000111
335,0.000111
336,0.000112
337,0.000121
338,0.000193
339,0.000117
340,0.000116
341,0.000113
342,0.000215
343,0.000118
344,0.000118
345,0.000118
346,0.000119
347,0.000117
348,0.000116
349,0.000121
350,0.000122
351,0.000119
352,0.000262
353,0.000127
354,0.000122
355,0.00012
356,0.000123
357,0.000122
358,0.000123
359,0.00016
360,0.000168
361,0.000125
362,0.000125
363,0.00013
364,0.000159
365,0.000129
366,0.000129
367,0.000127
368,0.000129
369,0.000128
370,0.000127
371,0.000127
372,0.000127
373,0.000127
374,0.000135
375,0.000136
376,0.000131
377,0.000126
378,0.000127
379,0.000132
380,0.000138
381,0.000129
382,0.000137
383,0.000133
384,0.000134
385,0.000134
386,0.000131
387,0.000229
388,0.000136
389,0.000138
390,0.000139
391,0.000248
392,0.000139
393,0.000137
394,0.000137
395,0.000149
396,0.000135
397,0.000138
398,0.000143
399,0.000143
400,0.000139
401,0.000139
402,0.000137
403,0.000136
404,0.000142
405,0.000142
406,0.000143
407,0.000143
408,0.00014
409,0.000271
410,0.000149
411,0.000144
412,0.000146
413,0.000148
414,0.000152
415,0.00015
416,0.000145
417,0.000144
418,0.000153
419,0.000144
420,0.00019
421,0.000148
422,0.000144
423,0.000178
424,0.000145
425,0.000145
426,0.000152
427,0.000146
428,0.000151
429,0.00015
430,0.000147
431,0.000258
432,0.000153
433,0.00015
434,0.000272
435,0.000154
436,0.000156
437,0.000156
438,0.000159
439,0.000154
440,0.000152
441,0.000151
442,0.000152
443,0.000158
444,0.000158
445,0.000157
446,0.000155
447,0.000159
448,0.000161
449,0.000158
450,0.000157
451,0.000157
452,0.000159
453,0.000157
454,0.000155
455,0.000158
456,0.000156
457,0.000157
458,0.000157
459,0.000156
460,0.000159
461,0.000154
462,0.000159
463,0.00016
464,0.000159
465,0.000317
466,0.000166
467,0.000173
468,0.000165
469,0.000162
470,0.000163
471,0.000317
472,0.000165
473,0.000286
474,0.000168
475,0.000172
476,0.000166
477,0.000173
478,0.000167
479,0.000169
480,0.000169
481,0.000173
482,0.00017
483,0.000178
484,0.000171
485,0.000171
486,0.000171
487,0.00017
488,0.000192
489,0.000201
490,0.000198
491,0.00017
492,0.000174
493,0.000175
494,0.00017
495,0.000175
496,0.000173
497,0.000177
498,0.000175
499,0.000176
500,0.000175
501,0.000175
502,0.000184
503,0.00017
504,0.000174
505,0.000169
506,0.000174
507,0.00036
508,0.000177
509,0.000179
510,0.000295
511,0.000182
512,0.000265
513,0.000186
514,0.000183
515,0.000181
516,0.000183
517,0.000188
518,0.000183
519,0.000183
520,0.000182
521,0.000184
522,0.000192
523,0.000181
524,0.000185
525,0.00018
526,0.000189
527,0.000189
528,0.0002
529,0.000184
530,0.000184
531,0.000187
532,0.000185
533,0.000187
534,0.000193
535,0.000185
536,0.000189
537,0.000191
538,0.000191
539,0.000189
540,0.000186
541,0.000302
542,0.00019
543,0.000197
544,0.000344
545,0.000207
546,0.000199
547,0.000202
548,0.0002
549,0.000201
550,0.000192
551,0.000196
552,0.000205
553,0.000201
554,0.0002
555,0.000201
556,0.000203
557,0.000198
558,0.0002
559,0.000202
560,0.000204
561,0.000201
562,0.000202
563,0.000208
564,0.000207
565,0.000205
566,0.000205
567,0.000202
568,0.00021
569,0.000217
570,0.000208
571,0.000209
572,0.000298
573,0.000216
574,0.000239
575,0.000217
576,0.000245
577,0.000219
578,0.000214
579,0.000217
580,0.000215
581,0.000216
582,0.000224
583,0.000214
584,0.000208
585,0.000215
586,0.000213
587,0.000211
588,0.000285
589,0.000223
590,0.000219
591,0.000211
592,0.000213
593,0.000216
594,0.000215
595,0.000214
596,0.000213
597,0.00021
598,0.000221
599,0.000215
600,0.000212
601,0.000218
602,0.000291
603,0.000219
604,0.000306
605,0.000221
606,0.000218
607,0.000231
608,0.000228
609,0.000222
610,0.00022
611,0.000219
612,0.000335
613,0.00026
614,0.000221
615,0.000227
616,0.000219
617,0.000224
618,0.000222
619,0.000227
620,0.000228
621,0.000224
622,0.00022
623,0.000235
624,0.000229
625,0.000231
626,0.000232
627,0.000229
628,0.000231
629,0.000224
630,0.000349
631,0.000232
632,0.000347
633,0.000233
634,0.000234
635,0.000239
636,0.00024
637,0.000233
638,0.000232
639,0.000352
640,0.000233
641,0.000272
642,0.000237
643,0.000305
644,0.00024
645,0.000241
646,0.000517
647,0.000242
648,0.000242
649,0.000249
650,0.000235
651,0.000237
652,0.000239
653,0.000239
654,0.000234
655,0.000339
656,0.000244
657,0.000333
658,0.000247
659,0.000242
660,0.000244
661,0.000243
662,0.000247
663,0.000248
664,0.000244
665,0.000237
666,0.000243
667,0.00039
668,0.000247
669,0.000241
670,0.000283
671,0.000253
672,0.000242
673,0.000241
674,0.000246
675,0.000242
676,0.000252
677,0.000247
678,0.000251
679,0.00025
680,0.000249
681,0.000346
682,0.000251
683,0.000356
684,0.00026
685,0.000253
686,0.000255
687,0.000252
688,0.000253
689,0.000254
690,0.000263
691,0.000368
692,0.000251
693,0.000303
694,0.000257
695,0.000287
696,0.000261
697,0.000257
698,0.000252
699,0.000261
700,0.000258
701,0.000253
702,0.000255
703,0.000243
704,0.000251
705,0.00033
706,0.000256
707,0.000261
708,0.000263
709,0.000259
710,0.000257
711,0.000262
712,0.000255
713,0.000263
714,0.000264
715,0.000267
716,0.000265
717,0.000278
718,0.000267
719,0.000263
720,0.000387
721,0.000318
722,0.000266
723,0.0003
724,0.000267
725,0.000267
726,0.00027
727,0.000276
728,0.000268
729,0.000459
730,0.00027
731,0.000356
732,0.000277
733,0.000272
734,0.000286
735,0.000267
736,0.000281
737,0.000272
738,0.000274
739,0.000265
740,0.000274
741,0.000271
742,0.000279
743,0.00027
744,0.000277
745,0.000275
746,0.000425
747,0.000283
748,0.000275
749,0.000277
750,0.000279
751,0.000286
752,0.000411
753,0.000289
754,0.000401
755,0.000278
756,0.000416
757,0.000281
758,0.000284
759,0.000296
760,0.000283
761,0.000281
762,0.000277
763,0.000279
764,0.000282
765,0.000287
766,0.000281
767,0.000414
768,0.000294
769,0.000331
770,0.000321
771,0.000291
772,0.000297
773,0.000404
774,0.000296
775,0.000406
776,0.000298
777,0.000305
778,0.000297
779,0.000293
780,0.000288
781,0.000291
782,0.000292
783,0.000285
784,0.000287
785,0.000293
786,0.000283
787,0.000294
788,0.000294
789,0.00029
790,0.000285
791,0.000293
792,0.000466
793,0.000316
794,0.000308
795,0.000482
796,0.000418
797,0.000302
798,0.000297
799,0.000314
800,0.000308
801,0.000298
802,0.000303
803,0.0003
804,0.000297
805,0.000306
806,0.000307
807,0.000297
808,0.000304
809,0.0003
810,0.0003
811,0.000299
812,0.000437
813,0.000297
814,0.000346
815,0.000402
816,0.000306
817,0.000427
818,0.000305
819,0.000307
820,0.000318
821,0.000366
822,0.000307
823,0.000307
824,0.000305
825,0.000311
826,0.000307
827,0.000305
828,0.000304
829,0.000312
830,0.000317
831,0.000314
832,0.000307
833,0.000314
834,0.000308
835,0.000308
836,0.000517
837,0.000408
838,0.000322
839,0.000313
840,0.000312
841,0.000315
842,0.000312
843,0.000318
844,0.000313
845,0.000312
846,0.000321
847,0.000314
848,0.000313
849,0.000311
850,0.000309
851,0.000318
852,0.000315
853,0.000312
854,0.000318
855,0.000419
856,0.000431
857,0.000427
858,0.000357
859,0.000328
860,0.000319
861,0.000319
862,0.00032
863,0.000321
864,0.000326
865,0.000345
866,0.00032
867,0.000337
868,0.000313
869,0.000315
870,0.000321
871,0.000323
872,0.00032
873,0.000321
874,0.000318
875,0.000327
876,0.000432
877,0.000488
878,0.000379
879,0.000329
880,0.000342
881,0.000331
882,0.000329
883,0.000326
884,0.000331
885,0.000331
886,0.00032
887,0.00032
888,0.000324
889,0.000329
890,0.00033
891,0.000333
892,0.00032
893,0.00032
894,0.000322
895,0.00043
896,0.000334
897,0.00045
898,0.000345
899,0.000377
900,0.000354
901,0.000338
902,0.000337
903,0.000334
904,0.000341
905,0.000329
906,0.000341
907,0.000351
908,0.00034
909,0.00034
910,0.000336
911,0.000337
912,0.000347
913,0.000331
914,0.000507
915,0.000431
916,0.000513
917,0.00035
918,0.000351
919,0.000351
920,0.000347
921,0.000353
922,0.000348
923,0.000339
924,0.000347
925,0.000344
926,0.00034
927,0.000341
928,0.000337
929,0.000344
930,0.000348
931,0.00035
932,0.000455
933,0.000539
934,0.000358
935,0.000394
936,0.000434
937,0.000348
938,0.000358
939,0.000346
940,0.000356
941,0.000343
942,0.000354
943,0.000344
944,0.000356
945,0.000356
946,0.000375
947,0.000362
948,0.00036
949,0.000358
950,0.00045
951,0.000464
952,0.000362
953,0.000366
954,0.00052
955,0.000364
956,0.000356
957,0.000356
958,0.000363
959,0.000363
960,0.000354
961,0.000358
962,0.000355
963,0.000352
964,0.000351
965,0.000349
966,0.000371
967,0.000472
968,0.000365
969,0.0005
970,0.000531
971,0.000378
972,0.000373
973,0.00038
974,0.00038
975,0.00037
976,0.000377
977,0.000367
978,0.000372
979,0.000361
980,0.000378
981,0.000365
982,0.000369
983,0.000388
984,0.000473
985,0.000453
986,0.000522
987,0.000369
988,0.00037
989,0.000365
990,0.000371
991,0.000374
992,0.000372
993,0.000385
994,0.000368
995,0.000379
996,0.000367
997,0.000368
998,0.000382
999,0.000371
1000,0.000377
